agentcontributedtocreativework	http://dbpedia.org/ontology/author	null	Book
agentcreated	http://dbpedia.org/ontology/author	null	Book
agentcreated	http://dbpedia.org/ontology/author	null	Book
agentcreated	http://dbpedia.org/ontology/author	null	Book
agentcontributedtocreativework	http://dbpedia.org/ontology/author	null	Book
agentcontributedtocreativework	http://dbpedia.org/ontology/writer	null	Film
agentcreated	http://dbpedia.org/ontology/writer	null	Film
agentcreated	http://dbpedia.org/ontology/author	null	Book
mutualproxyfor	http://dbpedia.org/ontology/isPartOf	City	Settlement
agentcontributedtocreativework	http://dbpedia.org/ontology/author	null	Book
agentcontributedtocreativework	http://dbpedia.org/ontology/author	null	Book
agentcreated	http://dbpedia.org/ontology/author	null	Book
agentcreated	http://dbpedia.org/ontology/author	null	Book
agentcreated	http://dbpedia.org/ontology/author	null	Book
agentcontributedtocreativework	http://dbpedia.org/ontology/creator	null	FictionalCharacter
agentcontributedtocreativework	http://dbpedia.org/ontology/author	null	Book
agentcontributedtocreativework	http://dbpedia.org/ontology/author	null	Play
agentcreated	http://dbpedia.org/ontology/author	null	Book
agentcreated	http://dbpedia.org/ontology/author	null	Play
agentcontributedtocreativework	http://dbpedia.org/ontology/director	null	Film
agentcontributedtocreativework	http://dbpedia.org/ontology/director	null	Film
agentcreated	http://dbpedia.org/ontology/author	null	Book
agentcontributedtocreativework	http://dbpedia.org/ontology/starring	null	Film
agentcontributedtocreativework	http://dbpedia.org/ontology/writer	null	Film
locationlocatedwithinlocation	http://dbpedia.org/ontology/capital	City	Country
proxyfor	http://dbpedia.org/ontology/capital	City	Country
subpartof	http://dbpedia.org/ontology/capital	City	Country
personbelongstoorganization	http://dbpedia.org/ontology/formerBandMember	MusicalArtist	Band
agentcontributedtocreativework	http://dbpedia.org/ontology/author	null	Book
agentcreated	http://dbpedia.org/ontology/author	null	Book
agentcreated	http://dbpedia.org/ontology/author	null	Book
agentcontributedtocreativework	http://dbpedia.org/ontology/author	Writer	Book
agentcreated	http://dbpedia.org/ontology/author	Writer	Book
agentcreated	http://dbpedia.org/ontology/author	null	Book
agentcreated	http://dbpedia.org/ontology/author	null	Book
agentcreated	http://dbpedia.org/ontology/coverArtist	null	Book
personleadsgeopoliticalorganization	http://dbpedia.org/ontology/leaderName	null	City
atlocation	http://dbpedia.org/ontology/capital	Settlement	AdministrativeRegion
proxyfor	http://dbpedia.org/ontology/capital	Settlement	AdministrativeRegion
subpartof	http://dbpedia.org/ontology/capital	Settlement	AdministrativeRegion
personbelongstoorganization	http://dbpedia.org/ontology/keyPerson	Person	Company
personleadsorganization	http://dbpedia.org/ontology/keyPerson	Person	Company
personleadsorganization	http://dbpedia.org/ontology/keyPerson	Person	Company
personleadsorganization	http://dbpedia.org/ontology/keyPerson	Person	Company
agentcollaborateswithagent	http://dbpedia.org/ontology/team	null	BaseballPlayer
agentcollaborateswithagent	http://dbpedia.org/ontology/team	null	BaseballPlayer
agentcontrols	http://dbpedia.org/ontology/team	null	BaseballPlayer
hasspouse	http://dbpedia.org/ontology/associatedBand	null	MusicalArtist
